name,operator,precision,backend,input_description,latency_ms,throughput_ops_per_s,mean_abs_error,max_abs_error,latency_median_ms,latency_p90_ms,latency_std_ms,valid_runs,failed_runs,oom_runs,peak_memory_mb,gpu_memory_allocated_mb,gpu_memory_reserved_mb,power_w,energy_mj,edp_mj_ms,preprocess_ms,inference_ms,postprocess_ms
rtx4060_matmul_256,matmul,fp32,cpu,256x256 @ 256x256,0.864300,38822668055.07,0.00000000,0.00000000,0.864300,1.092960,0.159603,20,0,0,59.242,,,,,,0.000000,0.864300,0.000000
rtx4060_matmul_256,matmul,fp32,torch_cpu,256x256 @ 256x256,0.887300,37816332694.71,0.00000043,0.00001049,0.887300,4.123860,1.489700,20,0,0,396.391,,,,,,0.000000,0.887300,0.000000
rtx4060_matmul_256,matmul,fp32,torch_cuda,256x256 @ 256x256,0.978600,34288199468.62,0.00000082,0.00001240,0.978600,1.398280,0.219032,20,0,0,513.652,8.875,22.000,14.206,13.902,13.604,0.000000,0.978600,0.000000
rtx4060_matmul_256,matmul,fp32,onnxruntime_cpu,256x256 @ 256x256,2.028000,16545577909.27,0.00000043,0.00001049,2.028000,5.694510,2.559839,20,0,0,538.941,,,,,,0.000000,2.028000,0.000000
rtx4060_matmul_256,matmul,fp32,onnxruntime_cuda,256x256 @ 256x256,0.539750,62166617878.78,0.00093977,0.00499487,0.539750,0.653900,0.082526,20,0,0,584.684,,,14.213,7.672,4.141,0.000000,0.539750,0.000000
rtx4060_conv3x3_64ch,conv2d,fp32,cpu,"NCHW=(1, 32, 64, 64), out_channels=64, kernel=(3, 3), stride=1, padding=1",3.178150,47510326447.76,0.00000000,0.00000000,3.178150,3.480590,0.311397,20,0,0,589.773,,,,,,0.000000,3.178150,0.000000
rtx4060_conv3x3_64ch,conv2d,fp32,torch_cpu,"NCHW=(1, 32, 64, 64), out_channels=64, kernel=(3, 3), stride=1, padding=1",0.673150,224310991606.66,0.00000103,0.00001526,0.673150,0.792160,0.078140,20,0,0,595.141,,,,,,0.000000,0.673150,0.000000
rtx4060_conv3x3_64ch,conv2d,fp32,torch_cuda,"NCHW=(1, 32, 64, 64), out_channels=64, kernel=(3, 3), stride=1, padding=1",0.702850,214832388134.39,0.00000095,0.00000858,0.702850,1.057980,0.184306,20,0,0,697.715,9.892,22.000,13.502,9.490,6.670,0.000000,0.702850,0.000000
rtx4060_conv3x3_64ch,conv2d,fp32,onnxruntime_cpu,"NCHW=(1, 32, 64, 64), out_channels=64, kernel=(3, 3), stride=1, padding=1",0.281000,537348555158.07,0.00000081,0.00001049,0.281000,0.337570,0.064878,20,0,0,705.547,,,,,,0.000000,0.281000,0.000000
rtx4060_conv3x3_64ch,conv2d,fp32,onnxruntime_cuda,"NCHW=(1, 32, 64, 64), out_channels=64, kernel=(3, 3), stride=1, padding=1",2.323800,64977598760.62,0.00000095,0.00000858,2.323800,2.482560,0.256316,20,0,0,842.547,,,5.738,13.333,30.984,0.000000,2.323800,0.000000
